Tanggal,Latitude,Longitude
2024-04-01,-3.44076,104.22068
2024-04-01,-3.43773,104.22062
2024-04-01,-3.43845,104.22061
2024-04-01,-3.43771,104.22066
2024-04-01,-3.41940,104.22678
2024-04-01,-3.41946,104.22674
2024-04-02,-3.41954,104.22709
2024-04-02,-3.42179,104.22733
2024-04-02,-3.42142,104.22729
2024-04-02,-3.42566,10423619
2024-04-02,-3.42477,104.22731
2024-04-02,-3.42570,104.22718
2024-04-03,-3.42614,104.22705
2024-04-03,-3.42755,104.22682
2024-04-03,-3.42764,104.22813
2024-04-03,-3.42830,104.22924
2024-04-03,-3.42720,104.23060
2024-04-03,-3.42628,104.23115
2024-04-04,-3.42587,104.23207
2024-04-04,-3.42538,104.23245
2024-04-04,-3.42623,104.23255
2024-04-04,-3.42428,104.23221
2024-04-04,-3.42368,104.23324
2024-04-04,-3.42363,104.23464
2024-04-05,-3.42283,104.23505
2024-04-05,-3.42131,104.23573
2024-04-05,-3.42196,104.23614
2024-04-05,-3.42134,104.23640
2024-04-05,-3.42262,104.23690
2024-04-05,-3.42092,104.23772
2024-04-06,-3.42151,104.23815
2024-04-06,-3.42021,104.2381
2024-04-06,-3.41862,104.23922
2024-04-06,-3.41819,104.23915
2024-04-06,-3.41754,104.23945
2024-04-06,3.41808,104.24067
2024-04-07,-3.41745,104.24097
2024-04-07,-3.41584,104.24192
2024-04-07,-3.41466,104.24236
2024-04-07,-3.41510,104.24278
2024-04-07,-3.41382,104.24277
2024-04-07,-3.41267,104.24271
2024-04-08,-3.41184,104.24356
2024-04-08,-3.41122,104.24411
2024-04-08,-3.41195,104.24407
2024-04-08,-3.41232,104.24396
2024-04-08,-3.41270,104.24445
2024-04-08,-3.41234,104.24545
2024-04-09,-3.40989,102.24464
2024-04-09,-3.40971,104.24491
2024-04-09,-3.40942,104.24505
2024-04-09,-3.40746,104.24422
2024-04-09,-3.40699,104.24475
2024-04-09,-3.40597,104.24387
2024-04-10,-3.40441,104.24373
2024-04-10,-3.40438,104.24402
2024-04-10,-3.40370,104.24412
2024-04-10,-3.40323,104.24431
2024-04-10,-3.40272,104.24490
2024-04-10,-3.39976,104.24607
2024-04-11,-3.40014,104.24647
2024-04-11,-3.39870,104.24651
2024-04-11,-3.39915,104.24714
2024-04-11,-3.39755,104.24649
2024-04-11,-3.39872,104.24653
2024-04-11,-3.39911,104.24715
2024-04-12,-3.39808,104.24825
2024-04-12,-3.39905,104.24849
